functional,ecut_ry,kmesh,total_energy_ry,scf_accuracy_ry,scf_iterations,cpu_time_s,wall_time_s,converged,job_done,source_file,total_energy_ev_per_atom,delta_to_best_ev_cell,delta_to_best_mev_atom,abs_delta_to_best_mev_atom,reference_file
PBE,30,4,-5961.38281845,3.9e-11,5,6.96,9.22,True,True,PBE_30_4_scf.out,-2027.7186304129937,44.27651229110625,1106.9128072776562,1106.9128072776562,PBE_90_10_scf.out
PBE,30,6,-5961.37861138,7.7e-11,4,9.8,12.62,True,True,PBE_30_6_scf.out,-2027.7171994104094,44.33375239447484,1108.343809861871,1108.343809861871,PBE_90_10_scf.out
PBE,30,8,-5961.38160204,7.4e-12,3,14.62,18.48,True,True,PBE_30_8_scf.out,-2027.7182166604646,44.29306239227622,1107.3265598069054,1107.3265598069054,PBE_90_10_scf.out
PBE,30,10,-5961.38059959,6.5e-11,5,29.64,34.35,True,True,PBE_30_10_scf.out,-2027.717875684788,44.3067014193441,1107.6675354836025,1107.6675354836025,PBE_90_10_scf.out
PBE,40,4,-5964.46992236,5.9e-11,3,7.17,9.98,True,True,PBE_40_4_scf.out,-2028.76868512395,2.2743238528483203,56.85809632120801,56.85809632120801,PBE_90_10_scf.out
PBE,40,6,-5964.46998639,2.1e-11,3,10.68,13.44,True,True,PBE_40_6_scf.out,-2028.7687069032631,2.2734526803241697,56.836317008104245,56.836317008104245,PBE_90_10_scf.out
PBE,40,8,-5964.46993235,3.6e-11,5,24.04,28.28,True,True,PBE_40_8_scf.out,-2028.7686885219719,2.2741879319760194,56.85469829940049,56.85469829940049,PBE_90_10_scf.out
PBE,40,10,-5964.46991142,3.7e-11,7,50.96,57.41,True,True,PBE_40_10_scf.out,-2028.7686814027934,2.2744726991285136,56.86181747821284,56.86181747821284,PBE_90_10_scf.out
PBE,50,4,-5964.58030171,7e-11,5,11.61,14.51,True,True,PBE_50_4_scf.out,-2028.8062298130305,0.7725362896371879,19.3134072409297,19.3134072409297,PBE_90_10_scf.out
PBE,50,6,-5964.58030712,9.4e-11,5,18.41,22.56,True,True,PBE_50_6_scf.out,-2028.8062316532003,0.7724626828362327,19.311567070905816,19.311567070905816,PBE_90_10_scf.out
PBE,50,8,-5964.58031325,5.9e-11,5,32.05,37.22,True,True,PBE_50_8_scf.out,-2028.806233738273,0.772379279940832,19.309481998520802,19.309481998520802,PBE_90_10_scf.out
PBE,50,10,-5964.58031365,4.7e-11,7,61.42,69.64,True,True,PBE_50_10_scf.out,-2028.80623387433,0.7723738376592656,19.30934594148164,19.30934594148164,PBE_90_10_scf.out
PBE,60,4,-5964.60371538,3.8e-11,4,12.72,15.68,True,True,PBE_60_4_scf.out,-2028.814193793253,0.4539770807330245,11.349427018325612,11.349427018325612,PBE_90_10_scf.out
PBE,60,6,-5964.60370814,5e-11,8,28.01,32.4,True,True,PBE_60_6_scf.out,-2028.8141913306226,0.4540755859489445,11.351889648723612,11.351889648723612,PBE_90_10_scf.out
