property,phase,component,n_group,held_out_value,held_out_sigma,held_out_functional,held_out_source,loo_prediction,loo_sigma,z_score,abs_z,full_group_mean,full_group_sigma,full_group_reduced_chi2
P_s,tetragonal,isotropic_or_unspecified,3,0.27,0.03,LDA,Zhong PRB 1995,0.268,0.00894427190999916,0.06388765649999405,0.06388765649999405,0.26816326530612244,0.008571428571428572,1.6020408163265287
P_s,tetragonal,isotropic_or_unspecified,3,0.26,0.01,PBEsol,Amounas Physica B 2024,0.2907692307692308,0.016641005886756873,-1.5848577035006548,1.5848577035006548,0.26816326530612244,0.008571428571428572,1.6020408163265287
P_s,tetragonal,isotropic_or_unspecified,3,0.3,0.02,PBE,Amounas Physica B 2024,0.261,0.009486832980505138,1.761840410665239,1.761840410665239,0.26816326530612244,0.008571428571428572,1.6020408163265287
Z_star_Ti,cubic,iso,4,7.16,0.4,LDA,Ghosez PRB 1998,7.292682926829268,0.1874085142663273,-0.3003737509235809,0.3003737509235809,7.268799999999999,0.16970562748477142,0.374474074074074
Z_star_Ti,cubic,iso,4,7.25,0.3,LDA,Zhong PRL 1994,7.27764705882353,0.2057983021710106,-0.07599449584471935,0.07599449584471935,7.268799999999999,0.16970562748477142,0.374474074074074
Z_star_Ti,cubic,iso,4,7.0,0.4,LDA,Ghosez PRB 1998,7.32780487804878,0.1874085142663273,-0.7420998552229674,0.7420998552229674,7.268799999999999,0.16970562748477142,0.374474074074074
Z_star_Ti,cubic,iso,4,7.5,0.3,PBE,Veithen PRB 2005,7.159999999999999,0.2057983021710106,0.9345706084733385,0.9345706084733385,7.268799999999999,0.16970562748477142,0.374474074074074
epsilon_inf,tetragonal,isotropic_or_unspecified,3,6.75,0.2,LDA,Veithen PRB 2005,6.7950819672131155,0.19205531989934396,-0.16258532930146574,0.16258532930146574,6.773454157782515,0.13852712896188304,0.8328891257995735
epsilon_inf,tetragonal,isotropic_or_unspecified,3,6.5,0.3,LDA,Ghosez PRB 1998,6.847560975609756,0.15617376188860607,-1.0276293855462544,1.0276293855462544,6.773454157782515,0.13852712896188304,0.8328891257995735
epsilon_inf,tetragonal,isotropic_or_unspecified,3,7.0,0.25,PBE,Tinte PRB 2003,6.6730769230769225,0.16641005886756874,1.0885811962503857,1.0885811962503857,6.773454157782515,0.13852712896188304,0.8328891257995735
lattice_a,tetragonal,isotropic_or_unspecified,4,3.94,0.02,LDA,Ghosez PRB 1998,3.9912380952380953,0.004364357804719847,-2.5030025259718895,2.5030025259718895,3.988909090909091,0.004264014327112209,2.1581818181818297
lattice_a,tetragonal,isotropic_or_unspecified,4,4.0,0.02,PBE,Tinte PRB 2003,3.9883809523809526,0.004364357804719847,0.5675953683430573,0.5675953683430573,3.988909090909091,0.004264014327112209,2.1581818181818297
lattice_a,tetragonal,isotropic_or_unspecified,4,3.99,0.01,PBEsol,PhononDB 2018,3.9886666666666666,0.004714045207910317,0.12060453783113234,0.12060453783113234,3.988909090909091,0.004264014327112209,2.1581818181818297
lattice_a,tetragonal,isotropic_or_unspecified,4,3.991,0.005,PBEsol,Amounas Physica B 2024,3.9833333333333334,0.008164965809277261,0.8007572173962146,0.8007572173962146,3.988909090909091,0.004264014327112209,2.1581818181818297
omega_soft,tetragonal,isotropic_or_unspecified,5,180.0,10.0,LDA,Ghosez PRB 1998,174.94507772020725,3.862936679877903,0.4715332977257313,0.4715332977257313,175.6014427412083,3.6034248812292256,0.35430273770163306
omega_soft,tetragonal,isotropic_or_unspecified,5,175.0,15.0,LDA,Zhong PRB 1995,175.63827751196172,3.712129349338476,-0.041305763732645974,0.041305763732645974,175.6014427412083,3.6034248812292256,0.35430273770163306
omega_soft,tetragonal,isotropic_or_unspecified,5,185.0,12.0,PBE,Tinte PRB 2003,174.66997026759168,3.7777713001233515,0.8211077203196144,0.8211077203196144,175.6014427412083,3.6034248812292256,0.35430273770163306
omega_soft,tetragonal,isotropic_or_unspecified,5,178.0,8.0,PBEsol,PhononDB 2018,174.99095022624434,4.036036763977875,0.3358147316812873,0.3358147316812873,175.6014427412083,3.6034248812292256,0.35430273770163306
omega_soft,tetragonal,isotropic_or_unspecified,5,172.0,5.0,PBE,"This work (QE 7.5, 2x2x2)",179.49343339587242,5.19777698189052,-1.038983566959411,1.038983566959411,175.6014427412083,3.6034248812292256,0.35430273770163306
